seed,cpu_eat,ctrl_eat,cpu_refresh,ctrl_refresh,cpu_pop,ctrl_pop
6000,0.273022,0.171460,0.008905,0.193134,29.37,36.49
6001,0.362319,0.346827,0.008963,0.059187,28.24,26.15
6002,0.246613,0.235875,0.070905,0.230233,28.63,22.15
6003,0.327909,0.155482,0.041328,0.225696,19.04,36.01
6004,0.329856,0.309471,0.008944,0.043173,28.68,30.69
6005,0.148909,0.356409,0.067951,0.016213,29.50,32.18
6006,0.295173,0.382945,0.020818,0.043745,25.11,21.54
6007,0.304594,0.315308,0.008778,0.025535,29.31,24.94
6008,0.316728,0.334715,0.020260,0.016320,25.16,31.61
6009,0.152029,0.288428,0.225043,0.018344,32.00,32.53
6010,0.372685,0.392767,0.009311,0.036229,28.90,25.59
6011,0.369024,0.274811,0.009003,0.015909,28.62,33.04
6012,0.289682,0.144702,0.094656,0.144572,23.55,29.00
6013,0.222640,0.155476,0.049647,0.225667,29.69,36.01
6014,0.254972,0.150989,0.193759,0.226035,18.95,36.29
6015,0.151914,0.343958,0.225314,0.016234,32.01,32.79
6016,0.151981,0.143231,0.225328,0.145718,32.00,29.22
6017,0.264642,0.427459,0.137520,0.020991,24.00,33.53
6018,0.316972,0.460019,0.008841,0.016328,29.17,32.24
6019,0.164810,0.317004,0.124824,0.016350,24.42,32.06
6020,0.108521,0.397443,0.143155,0.015986,21.00,32.37
6021,0.198155,0.237050,0.152589,0.025837,11.42,29.76
6022,0.365106,0.234541,0.010546,0.043562,28.22,23.47
6023,0.343761,0.208216,0.035454,0.014949,21.62,34.78
6024,0.268160,0.155464,0.057305,0.225672,24.43,36.01
6025,0.207530,0.342973,0.106248,0.015783,26.66,33.78
6026,0.334825,0.440590,0.036279,0.016235,28.86,32.15
6027,0.356145,0.348513,0.009098,0.040759,29.04,26.10
6028,0.151935,0.317375,0.225344,0.027091,32.01,29.24
6029,0.151498,0.282236,0.226709,0.078450,27.04,28.17
6030,0.234716,0.363924,0.008443,0.070472,26.92,28.08
6031,0.273147,0.420803,0.008949,0.092522,29.51,25.20
6032,0.368782,0.293144,0.008967,0.142059,29.21,32.51
6033,0.254477,0.279804,0.107442,0.072501,19.75,30.46
6034,0.260300,0.354600,0.033308,0.032900,25.14,27.55
6035,0.426034,0.192050,0.020163,0.143255,25.35,32.90
6036,0.254890,0.294228,0.178157,0.044833,22.37,32.36
6037,0.152030,0.155485,0.225056,0.225678,32.02,36.00
6038,0.268788,0.255564,0.021689,0.015684,24.68,33.31
6039,0.325539,0.313863,0.009093,0.059152,28.18,27.78
6040,0.195333,0.155473,0.008226,0.225685,31.02,36.01
6041,0.193082,0.249004,0.069578,0.249004,28.90,2.00
6042,0.247414,0.285459,0.008725,0.027510,29.86,28.81
6043,0.313589,0.338878,0.012468,0.016670,20.74,30.88
6044,0.264875,0.379458,0.040468,0.112384,26.83,20.40
6045,0.151977,0.158409,0.225277,0.227015,31.95,32.04
6046,0.152029,0.388383,0.225059,0.016523,32.00,32.12
6047,0.226636,0.321462,0.008939,0.015199,28.85,34.75
6048,0.332218,0.325147,0.042081,0.015758,27.45,33.05
6049,0.228725,0.297795,0.022357,0.015407,23.50,34.21
6050,0.328173,0.251997,0.011312,0.107292,28.71,29.88
6051,0.246222,0.380515,0.026005,0.027590,22.47,28.89
6052,0.151934,0.335756,0.225631,0.015817,32.01,33.18
6053,0.258623,0.338282,0.008851,0.056907,28.95,33.73
6054,0.229718,0.242620,0.089882,0.161271,22.91,19.25
6055,0.388104,0.276236,0.019670,0.220719,26.12,28.35
6056,0.292247,0.339862,0.010367,0.015709,28.66,33.61
6057,0.299445,0.150882,0.021002,0.140360,24.49,28.33
6058,0.151539,0.346254,0.226179,0.018087,27.00,30.92
6059,0.222873,0.269905,0.203234,0.032180,25.35,26.22
6060,0.152040,0.263729,0.225066,0.141239,32.02,26.00
6061,0.169411,0.359302,0.008608,0.023644,24.63,22.67
6062,0.152029,0.269496,0.225044,0.016346,32.02,32.85
6063,0.393789,0.155457,0.021370,0.225702,23.72,36.01
6064,0.198711,0.388327,0.010901,0.134596,25.59,22.65
6065,0.176695,0.263405,0.023060,0.027551,21.84,27.84
6066,0.354040,0.291716,0.143594,0.040394,21.00,25.22
6067,0.237326,0.288843,0.073211,0.105352,21.55,25.05
6068,0.273038,0.360925,0.008931,0.016436,29.52,31.64
6069,0.356274,0.262881,0.038344,0.070452,20.35,19.57
6070,0.240723,0.289312,0.125254,0.121283,21.16,28.74
6071,0.296515,0.270098,0.036956,0.015057,26.02,34.33
6072,0.363788,0.400790,0.009624,0.016643,28.82,31.61
6073,0.151929,0.138057,0.225334,0.246099,32.00,35.76
6074,0.139643,0.234780,0.123027,0.112268,24.92,21.71
6075,0.265117,0.317843,0.009099,0.065803,28.45,28.92
6076,0.239845,0.366655,0.076072,0.029347,24.24,28.77
6077,0.247498,0.263677,0.022779,0.141226,23.48,26.33
6078,0.246011,0.305904,0.203039,0.015367,32.00,34.38
6079,0.266021,0.153728,0.106139,0.241898,25.39,30.02
6080,0.192169,0.212566,0.063778,0.014685,24.18,36.14
6081,0.248002,0.159337,0.008648,0.226988,30.10,30.99
6082,0.346493,0.255917,0.008972,0.123072,28.89,28.09
6083,0.193113,0.268328,0.058927,0.025523,28.76,31.84
6084,0.364149,0.282609,0.009254,0.038390,28.92,30.31
6085,0.425680,0.152077,0.019906,0.225968,25.38,36.27
6086,0.400146,0.243627,0.074789,0.226540,27.61,25.79
6087,0.173418,0.361546,0.062409,0.017424,26.73,30.87
6088,0.151944,0.436376,0.225309,0.016627,31.99,32.18
6089,0.250577,0.345694,0.023382,0.015409,29.71,33.97
6090,0.271729,0.269440,0.082671,0.016367,19.88,32.55
6091,0.177147,0.369677,0.155647,0.142244,21.00,18.00
6092,0.217800,0.367735,0.019493,0.118026,26.19,24.92
6093,0.366973,0.288161,0.008956,0.073760,28.49,26.49
6094,0.176948,0.242974,0.100407,0.015464,30.90,33.61
6095,0.106459,0.433305,0.137145,0.016113,24.00,33.15
6096,0.144049,0.340525,0.121531,0.016455,25.76,31.29
6097,0.150894,0.337394,0.229053,0.203406,28.01,34.74
6098,0.313251,0.155471,0.074631,0.225698,25.37,35.99
6099,0.356825,0.386710,0.078116,0.016556,27.90,31.74
