group,seed,survived,refresh,eat,divide,pop,energy
g2_opt_gate,7000,true,0.022444,0.238977,0.020021,116.31,33.26
g3_nonopt_nogate,7000,true,0.008745,0.248052,0.096254,30.14,24.02
g4_nonopt_gate_exp,7000,true,0.007846,0.194787,0.022111,32.75,26.07
g4_nonopt_gate_ctrl,7000,true,0.127888,0.309297,0.045882,14.10,60.44
g2_opt_gate,7001,true,0.023495,0.214788,0.015784,110.96,39.68
g3_nonopt_nogate,7001,true,0.038875,0.269095,0.097282,29.67,23.62
g4_nonopt_gate_exp,7001,true,0.008482,0.305184,0.022085,30.20,26.72
g4_nonopt_gate_ctrl,7001,true,0.009611,0.221348,0.017739,26.27,35.13
g2_opt_gate,7002,true,0.015905,0.193360,0.021813,135.70,29.15
g3_nonopt_nogate,7002,true,0.024902,0.273331,0.139372,29.25,22.37
g4_nonopt_gate_exp,7002,true,0.016992,0.298652,0.021239,28.39,28.99
g4_nonopt_gate_ctrl,7002,true,0.007892,0.204273,0.022129,32.73,26.54
g2_opt_gate,7003,true,0.014591,0.218658,0.016385,113.82,37.77
g3_nonopt_nogate,7003,true,0.024343,0.236676,0.089613,23.80,28.64
g4_nonopt_gate_exp,7003,true,0.008153,0.249133,0.022102,31.56,26.58
g4_nonopt_gate_ctrl,7003,true,0.017189,0.322126,0.114037,29.01,23.70
g2_opt_gate,7004,true,0.014666,0.220616,0.016546,117.63,36.77
g3_nonopt_nogate,7004,true,0.008948,0.211096,0.096205,29.08,24.51
g4_nonopt_gate_exp,7004,true,0.008540,0.305468,0.022098,30.61,26.50
g4_nonopt_gate_ctrl,7004,true,0.009134,0.247313,0.096253,28.70,24.03
g2_opt_gate,7005,true,0.014258,0.212913,0.020370,118.47,32.17
g3_nonopt_nogate,7005,true,0.009167,0.368500,0.095750,28.86,24.36
g4_nonopt_gate_exp,7005,true,0.017028,0.206215,0.021309,29.53,28.21
g4_nonopt_gate_ctrl,7005,true,0.028072,0.293032,0.020012,24.45,32.39
g2_opt_gate,7006,true,0.016955,0.217650,0.016082,113.11,38.15
g3_nonopt_nogate,7006,true,0.224706,0.152413,0.096351,31.97,24.30
g4_nonopt_gate_exp,7006,true,0.016966,0.298517,0.021237,28.34,28.85
g4_nonopt_gate_ctrl,7006,true,0.008462,0.232277,0.022073,30.48,26.58
g2_opt_gate,7007,true,0.203906,0.125115,0.064647,122.41,35.48
g3_nonopt_nogate,7007,true,0.023197,0.367603,0.085477,23.19,38.43
g4_nonopt_gate_exp,7007,true,0.116652,0.209035,0.021496,27.28,29.83
g4_nonopt_gate_ctrl,7007,true,0.019112,0.211792,0.019366,25.45,32.44
g2_opt_gate,7008,true,0.022347,0.219542,0.015127,105.40,40.39
g3_nonopt_nogate,7008,true,0.103379,0.386163,0.086466,19.85,32.89
g4_nonopt_gate_exp,7008,true,0.008479,0.305226,0.022117,30.71,26.68
g4_nonopt_gate_ctrl,7008,true,0.008467,0.305467,0.022083,30.01,26.65
g2_opt_gate,7009,true,0.028962,0.155831,0.020668,120.78,32.55
g3_nonopt_nogate,7009,true,0.039731,0.312562,0.136058,24.37,23.81
g4_nonopt_gate_exp,7009,true,0.177512,0.239064,0.077169,33.00,21.76
g4_nonopt_gate_ctrl,7009,true,0.038266,0.281762,0.018997,24.49,34.83
g2_opt_gate,7010,true,0.012512,0.219632,0.016642,118.86,36.64
g3_nonopt_nogate,7010,true,0.103409,0.183451,0.150028,29.79,22.19
g4_nonopt_gate_exp,7010,true,0.016955,0.233141,0.021244,28.35,28.80
g4_nonopt_gate_ctrl,7010,true,0.176396,0.215456,0.051955,22.15,34.36
g2_opt_gate,7011,true,0.007834,0.135811,0.022696,161.02,27.51
g3_nonopt_nogate,7011,true,0.032732,0.261801,0.097297,28.29,24.83
g4_nonopt_gate_exp,7011,true,0.008216,0.264959,0.022100,31.42,26.49
g4_nonopt_gate_ctrl,7011,true,0.008507,0.218275,0.022099,30.59,26.48
g2_opt_gate,7012,true,0.017065,0.217694,0.015996,111.82,38.56
g3_nonopt_nogate,7012,true,0.009088,0.248088,0.096183,30.11,24.21
g4_nonopt_gate_exp,7012,true,0.027886,0.294700,0.020145,25.51,31.93
g4_nonopt_gate_ctrl,7012,true,0.027951,0.299253,0.020135,25.24,32.05
g2_opt_gate,7013,true,0.020095,0.209000,0.019805,118.62,33.50
g3_nonopt_nogate,7013,true,0.019999,0.369521,0.102696,15.35,24.61
g4_nonopt_gate_exp,7013,true,0.017606,0.302646,0.021204,27.53,29.07
g4_nonopt_gate_ctrl,7013,true,0.024609,0.305291,0.090122,21.39,28.89
g2_opt_gate,7014,true,0.010253,0.220654,0.017161,121.18,35.86
g3_nonopt_nogate,7014,true,0.034657,0.269801,0.097125,29.71,23.63
g4_nonopt_gate_exp,7014,true,0.008507,0.305560,0.022083,30.35,26.47
g4_nonopt_gate_ctrl,7014,true,0.009140,0.260384,0.019561,27.99,31.53
g2_opt_gate,7015,true,0.219219,0.102406,0.015893,147.12,41.83
g3_nonopt_nogate,7015,true,0.107817,0.187816,0.080888,18.68,33.86
g4_nonopt_gate_exp,7015,true,0.008343,0.275415,0.022110,30.88,26.66
g4_nonopt_gate_ctrl,7015,true,0.008492,0.290194,0.022084,30.06,26.71
g2_opt_gate,7016,true,0.020757,0.244325,0.017073,115.79,36.57
g3_nonopt_nogate,7016,true,0.130599,0.241623,0.091651,22.32,30.80
g4_nonopt_gate_exp,7016,true,0.017630,0.302683,0.021185,27.41,29.09
g4_nonopt_gate_ctrl,7016,true,0.008328,0.269159,0.022107,31.25,26.37
g2_opt_gate,7017,true,0.010149,0.212356,0.020817,124.43,30.80
g3_nonopt_nogate,7017,true,0.224450,0.152499,0.096070,31.96,24.31
g4_nonopt_gate_exp,7017,true,0.094581,0.218202,0.020416,24.14,33.19
g4_nonopt_gate_ctrl,7017,true,0.215804,0.193669,0.000000,5.00,96.47
g2_opt_gate,7018,true,0.033662,0.201909,0.018374,108.13,37.21
g3_nonopt_nogate,7018,true,0.016983,0.244765,0.134340,27.28,24.31
g4_nonopt_gate_exp,7018,true,0.026864,0.283572,0.020196,26.23,31.72
g4_nonopt_gate_ctrl,7018,true,0.182767,0.238443,0.066092,23.85,31.09
g2_opt_gate,7019,true,0.019268,0.218664,0.016042,110.57,39.10
g3_nonopt_nogate,7019,true,0.008907,0.293923,0.096164,29.68,23.84
g4_nonopt_gate_exp,7019,true,0.008483,0.218269,0.022080,30.24,26.55
g4_nonopt_gate_ctrl,7019,true,0.026884,0.290906,0.020182,26.19,31.81
g2_opt_gate,7020,true,0.012007,0.152691,0.022168,142.37,28.95
g3_nonopt_nogate,7020,true,0.249004,0.249004,0.000000,1.00,98.00
g4_nonopt_gate_exp,7020,true,0.026886,0.293789,0.020097,25.55,30.25
g4_nonopt_gate_ctrl,7020,true,0.027263,0.171014,0.019614,26.51,31.82
g2_opt_gate,7021,true,0.026228,0.218530,0.015431,106.63,39.87
g3_nonopt_nogate,7021,true,0.225389,0.131495,0.093928,26.98,21.01
g4_nonopt_gate_exp,7021,true,0.008486,0.272436,0.022082,30.15,26.88
g4_nonopt_gate_ctrl,7021,true,0.226263,0.220299,0.063884,21.22,29.52
g2_opt_gate,7022,true,0.033857,0.215061,0.018638,101.94,37.09
g3_nonopt_nogate,7022,true,0.008949,0.309265,0.160613,30.09,20.27
g4_nonopt_gate_exp,7022,true,0.019710,0.301946,0.166485,31.78,17.84
g4_nonopt_gate_ctrl,7022,true,0.017616,0.302715,0.021199,27.43,29.12
g2_opt_gate,7023,true,0.010237,0.220673,0.017167,123.30,35.56
g3_nonopt_nogate,7023,true,0.106555,0.215740,0.132083,31.53,18.59
g4_nonopt_gate_exp,7023,true,0.008485,0.238657,0.022067,30.12,26.99
g4_nonopt_gate_ctrl,7023,true,0.045561,0.229460,0.034910,21.05,35.03
g2_opt_gate,7024,true,0.014600,0.218660,0.016384,116.97,37.21
g3_nonopt_nogate,7024,true,0.152562,0.247484,0.083410,26.71,35.33
g4_nonopt_gate_exp,7024,true,0.185233,0.239107,0.077196,33.01,21.75
g4_nonopt_gate_ctrl,7024,true,0.016910,0.213765,0.021237,28.42,28.48
g2_opt_gate,7025,true,0.198250,0.207087,0.157866,153.68,23.10
g3_nonopt_nogate,7025,true,0.009043,0.272911,0.096029,28.92,24.08
g4_nonopt_gate_exp,7025,true,0.187453,0.197613,0.055310,28.01,38.01
g4_nonopt_gate_ctrl,7025,true,0.009416,0.237658,0.018417,26.98,33.64
g2_opt_gate,7026,true,0.008170,0.154532,0.022579,154.34,27.89
g3_nonopt_nogate,7026,true,0.044708,0.201211,0.161966,30.75,20.01
g4_nonopt_gate_exp,7026,true,0.028048,0.294399,0.020136,25.20,32.63
g4_nonopt_gate_ctrl,7026,true,0.119056,0.268135,0.108425,20.95,33.40
g2_opt_gate,7027,true,0.135806,0.134874,0.040729,121.30,37.52
g3_nonopt_nogate,7027,true,0.021328,0.302530,0.089600,24.80,28.36
g4_nonopt_gate_exp,7027,true,0.026946,0.290806,0.020183,26.54,31.51
g4_nonopt_gate_ctrl,7027,true,0.084310,0.238175,0.019755,22.81,35.21
g2_opt_gate,7028,true,0.016990,0.219549,0.016162,112.22,38.46
g3_nonopt_nogate,7028,true,0.119878,0.199540,0.215116,25.16,18.35
g4_nonopt_gate_exp,7028,true,0.008118,0.229145,0.022123,32.18,26.87
g4_nonopt_gate_ctrl,7028,true,0.008565,0.218300,0.022076,29.71,27.13
g2_opt_gate,7029,true,0.008230,0.154516,0.022563,154.02,27.90
g3_nonopt_nogate,7029,true,0.009248,0.362904,0.095873,28.22,24.56
g4_nonopt_gate_exp,7029,true,0.048979,0.274018,0.017516,23.62,37.67
g4_nonopt_gate_ctrl,7029,true,0.008558,0.218608,0.022079,30.22,26.43
g2_opt_gate,7030,true,0.012370,0.152239,0.022077,137.31,29.10
g3_nonopt_nogate,7030,true,0.052021,0.212206,0.087553,25.65,27.19
g4_nonopt_gate_exp,7030,true,0.016966,0.294023,0.021243,28.48,28.86
g4_nonopt_gate_ctrl,7030,true,0.016937,0.258292,0.021249,28.55,28.69
g2_opt_gate,7031,true,0.012536,0.220540,0.016702,116.51,36.68
g3_nonopt_nogate,7031,true,0.008961,0.303249,0.122777,29.55,22.25
g4_nonopt_gate_exp,7031,true,0.048965,0.273988,0.017479,23.66,37.75
g4_nonopt_gate_ctrl,7031,true,0.008508,0.250542,0.022168,30.15,26.73
g2_opt_gate,7032,true,0.008312,0.154564,0.022534,151.69,28.06
g3_nonopt_nogate,7032,true,0.026807,0.243836,0.081332,22.11,30.11
g4_nonopt_gate_exp,7032,true,0.198762,0.155755,0.064034,18.41,38.67
g4_nonopt_gate_ctrl,7032,true,0.007885,0.204088,0.022106,32.53,26.40
g2_opt_gate,7033,true,0.016114,0.153624,0.021740,133.68,29.92
g3_nonopt_nogate,7033,true,0.216718,0.136458,0.096337,32.00,20.81
g4_nonopt_gate_exp,7033,true,0.017162,0.234890,0.021400,28.61,28.55
g4_nonopt_gate_ctrl,7033,true,0.008506,0.253588,0.022066,30.35,27.05
g2_opt_gate,7034,true,0.012054,0.212253,0.020681,123.17,31.06
g3_nonopt_nogate,7034,true,0.051397,0.150559,0.097509,26.10,25.77
g4_nonopt_gate_exp,7034,true,0.212953,0.128207,0.050443,30.24,41.97
g4_nonopt_gate_ctrl,7034,true,0.027755,0.211089,0.019894,24.76,31.43
g2_opt_gate,7035,true,0.012156,0.211951,0.020548,122.95,31.20
g3_nonopt_nogate,7035,true,0.009237,0.364297,0.115070,28.27,24.26
g4_nonopt_gate_exp,7035,true,0.212495,0.127388,0.045530,26.68,42.88
g4_nonopt_gate_ctrl,7035,true,0.016982,0.298888,0.021247,28.18,28.87
g2_opt_gate,7036,true,0.023149,0.214564,0.019417,111.04,34.39
g3_nonopt_nogate,7036,true,0.012315,0.260658,0.091474,21.53,26.48
g4_nonopt_gate_exp,7036,true,0.008578,0.293994,0.022098,30.28,26.68
g4_nonopt_gate_ctrl,7036,true,0.214721,0.251704,0.008412,3.95,90.75
g2_opt_gate,7037,true,0.013956,0.152305,0.021945,139.64,29.46
g3_nonopt_nogate,7037,true,0.108210,0.260016,0.100641,30.53,23.61
g4_nonopt_gate_exp,7037,true,0.026760,0.234005,0.020214,26.54,31.35
g4_nonopt_gate_ctrl,7037,true,0.037570,0.337334,0.095196,21.78,27.49
g2_opt_gate,7038,true,0.011553,0.153901,0.022072,128.15,28.98
g3_nonopt_nogate,7038,true,0.008775,0.247879,0.096271,30.29,23.95
g4_nonopt_gate_exp,7038,true,0.017531,0.242314,0.020751,27.74,29.66
g4_nonopt_gate_ctrl,7038,true,0.016317,0.206289,0.021311,29.86,27.48
g2_opt_gate,7039,true,0.008189,0.154528,0.022599,156.25,27.91
g3_nonopt_nogate,7039,true,0.014392,0.247394,0.096209,29.98,24.37
g4_nonopt_gate_exp,7039,true,0.016938,0.213774,0.021245,28.66,28.47
g4_nonopt_gate_ctrl,7039,true,0.008453,0.305382,0.022110,30.23,26.69
g2_opt_gate,7040,true,0.011509,0.153855,0.022082,127.56,28.93
g3_nonopt_nogate,7040,true,0.218599,0.272828,0.096330,34.57,21.11
g4_nonopt_gate_exp,7040,true,0.008446,0.271067,0.022092,30.52,27.07
g4_nonopt_gate_ctrl,7040,true,0.182523,0.179275,0.102816,28.04,24.62
g2_opt_gate,7041,true,0.021309,0.215052,0.019583,112.65,34.13
g3_nonopt_nogate,7041,true,0.224518,0.152100,0.096068,32.01,24.27
g4_nonopt_gate_exp,7041,true,0.190731,0.215996,0.055329,28.00,37.17
g4_nonopt_gate_ctrl,7041,true,0.249004,0.249004,0.000000,1.00,98.00
g2_opt_gate,7042,true,0.011523,0.161224,0.021641,128.11,29.69
g3_nonopt_nogate,7042,true,0.009094,0.294384,0.096150,28.39,24.60
g4_nonopt_gate_exp,7042,true,0.008491,0.224939,0.022169,30.22,27.15
g4_nonopt_gate_ctrl,7042,true,0.008550,0.279626,0.022098,30.29,26.61
g2_opt_gate,7043,true,0.010246,0.220670,0.017170,122.59,35.59
g3_nonopt_nogate,7043,true,0.204159,0.342191,0.081262,28.32,39.84
g4_nonopt_gate_exp,7043,true,0.016918,0.213715,0.021237,28.60,28.68
g4_nonopt_gate_ctrl,7043,true,0.196713,0.211588,0.084331,29.35,24.74
g2_opt_gate,7044,true,0.030567,0.219226,0.014589,98.22,42.61
g3_nonopt_nogate,7044,true,0.009071,0.273143,0.095876,29.15,24.18
g4_nonopt_gate_exp,7044,true,0.224795,0.183294,0.000000,8.00,96.01
g4_nonopt_gate_ctrl,7044,true,0.041128,0.208303,0.018640,22.79,35.16
g2_opt_gate,7045,true,0.012523,0.151938,0.022103,135.25,29.28
g3_nonopt_nogate,7045,true,0.018221,0.178335,0.221254,28.69,19.94
g4_nonopt_gate_exp,7045,true,0.026350,0.204463,0.020269,26.85,30.39
g4_nonopt_gate_ctrl,7045,true,0.026927,0.290856,0.020202,26.14,31.84
g2_opt_gate,7046,true,0.013236,0.219459,0.016176,112.12,37.48
g3_nonopt_nogate,7046,true,0.046948,0.242451,0.145500,22.89,26.95
g4_nonopt_gate_exp,7046,true,0.026819,0.247217,0.020180,26.53,31.42
g4_nonopt_gate_ctrl,7046,true,0.128713,0.239156,0.034386,11.86,62.31
g2_opt_gate,7047,true,0.010238,0.220680,0.017172,123.10,35.56
g3_nonopt_nogate,7047,true,0.009121,0.272942,0.096050,29.25,23.93
g4_nonopt_gate_exp,7047,true,0.053271,0.263370,0.021719,28.88,28.17
g4_nonopt_gate_ctrl,7047,true,0.028775,0.270740,0.019960,24.61,31.79
g2_opt_gate,7048,true,0.016952,0.220569,0.016238,113.04,37.91
g3_nonopt_nogate,7048,true,0.008769,0.236289,0.165054,29.91,19.77
g4_nonopt_gate_exp,7048,true,0.026789,0.290363,0.020246,26.49,31.68
g4_nonopt_gate_ctrl,7048,true,0.008193,0.247056,0.022112,31.73,26.39
g2_opt_gate,7049,true,0.019562,0.153755,0.021489,134.73,30.31
g3_nonopt_nogate,7049,true,0.016706,0.225594,0.086730,26.66,30.58
g4_nonopt_gate_exp,7049,true,0.009355,0.220556,0.018807,27.11,33.50
